seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr4	57303214	57303278	65	*	X068	545622	57190841	57301837	110997	-	1376	upstream	1376	Ptpn3
chr7	100472814	100472926	113	*	X131	22229	100472990	100486432	13443	+	63	upstream	63	Ucp3
chr10	43903216	43903241	26	*	X173	76563	43874188	43901745	27558	-	1470	upstream	1470	Qrsl1
chr11	62648384	62648533	150	*	X182	192976	62604884	62648523	43640	-	0	overlapStart	0	Lrrc75a
chr11	62648384	62648533	150	*	X182	216829	62648664	62666354	17691	+	130	upstream	130	Mmgt2
chr11	62648674	62648745	72	*	X183	192976	62604884	62648523	43640	-	150	upstream	150	Lrrc75a
chr11	62648674	62648745	72	*	X183	216829	62648664	62666354	17691	+	0	inside	9	Mmgt2
chr15	79165537	79165671	135	*	X238	100041655	79166041	79227524	61484	+	369	upstream	369	Gm10863
chr15	79165537	79165671	135	*	X238	20665	79154908	79165240	10333	-	296	upstream	296	Sox10
chr15	79165684	79165710	27	*	X239	100041655	79166041	79227524	61484	+	330	upstream	330	Gm10863
chr15	79165684	79165710	27	*	X239	20665	79154908	79165240	10333	-	443	upstream	443	Sox10
chr19	3985110	3985168	59	*	X287	71670	3986570	3990007	3438	+	1401	upstream	1401	Acy3
